year,award,movie,nominee,winner,actor_in_a_leading_role_nomination,actor_in_a_supporting_role_nomination,actress_in_a_leading_role_nomination,actress_in_a_supporting_role_nomination,directing_nomination,cinematography_nomination,year_film,year_film2,year_film3,tconst,primarytitle,startyear,runtimeminutes,averagerating,numvotes,directors,writers,director,nconst_x,birthyear,dir_age,nconst_y,is_woman,name,release_day,rating,metascore,budget,opening_wk,opening_usa_day,gross,world,release_month,release_day_of_month,winner_bool,biography,drama,comedy,adventure,film-noir,mystery,action,crime,horror,family,animation,western,documentary,romance,fantasy,thriller,war,history,music,sport,musical,sci-fi,cpi_multiplier,n_globes
1944,BEST PICTURE,Warner Brothers,Casablanca,1.0,1,1,0,0,1,0,1943,1942,1941,tt0034583,Casablanca,1942.0,102.0,8.5,488015.0,nm0002031,"nm0258493,nm0258525,nm0462321,nm0122417,nm0019706,nm0732452",nm0002031,nm0002031,1886.0,58.0,nm0002031,0,Casablanca,1943-01-23,PG,100.0,13742896.55172414,2625529.754482759,12 April 1992,59433123.54206897,63286197.74896553,1,23,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.466206896551727,
1944,BEST PICTURE,20Th Century-Fox,Heaven Can Wait,,1,1,0,1,1,1,1943,1942,1941,tt0035979,Heaven Can Wait,1943.0,112.0,7.5,8984.0,nm0523932,"nm0710723,nm0124224",nm0523932,nm0523932,1892.0,52.0,nm0523932,0,Heaven Can Wait,1943-08-13,Not Rated,,,,,,,8,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.466206896551727,2.0
1944,BEST PICTURE,Metro-Goldwyn-Mayer,The Human Comedy,,1,0,0,0,1,0,1943,1942,1941,tt0036022,The Human Comedy,1943.0,117.0,7.1,1718.0,nm0113284,"nm0765490,nm0261455,nm0542534",nm0113284,nm0113284,1890.0,54.0,nm0113284,0,The Human Comedy,1944-02-14,Passed,,,,,,,2,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.466206896551727,
1947,BEST PICTURE,Metro-Goldwyn-Mayer,The Yearling,,1,0,1,0,1,0,1946,1945,1944,tt0039111,The Yearling,1946.0,128.0,7.2,5011.0,nm0113284,"nm0651585,nm0712617,nm0536941",nm0113284,nm0113284,1890.0,57.0,nm0113284,0,The Yearling,1947-05-01,Approved,89.0,46830139.53488373,,,,,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.707534883720932,1.0
1944,BEST PICTURE,20Th Century-Fox,The Song Of Bernadette,,0,1,1,1,1,0,1943,1942,1941,tt0036377,The Song Of Bernadette,1943.0,156.0,7.6,5636.0,nm0454771,"nm0780833,nm0921268",nm0454771,nm0454771,1886.0,58.0,nm0454771,0,The Song of Bernadette,1945-04-01,Approved,,28932413.793103453,,,,,4,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.466206896551727,2.0
1945,BEST PICTURE,20Th Century-Fox,Wilson,,1,0,0,0,1,0,1944,1943,1942,tt0037465,Wilson,1944.0,154.0,6.4,1357.0,nm0454771,nm0873707,nm0454771,nm0454771,1886.0,59.0,nm0454771,0,Wilson,1945-08-01,Passed,,56564494.38202247,,,,,8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.141123595505618,1.0
1950,BEST PICTURE,20Th Century-Fox,Twelve O'Clock High,,1,1,0,0,0,0,1949,1948,1947,tt0041996,Twelve O'Clock High,1949.0,132.0,7.7,11606.0,nm0454771,"nm0058905,nm0493446,nm0454771",nm0454771,nm0454771,1886.0,64.0,nm0454771,0,Twelve O'Clock High,1950-02-13,Not Rated,,,,,,,2,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.711148936170213,
1956,BEST PICTURE,"Buddy Adler, Producer",Love Is A Many-Splendored Thing,,0,0,1,0,0,0,1955,1954,1953,tt0048316,Love Is A Many-Splendored Thing,1955.0,102.0,6.5,4115.0,"nm0454771,nm0485871","nm0665875,nm0840507",nm0454771,nm0454771,1886.0,70.0,nm0454771,0,Love Is a Many-Splendored Thing,1955-09-26,Approved,,16718185.074626867,,,,,9,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.39223880597015,1.0
1944,BEST PICTURE,Warner Brothers,Watch On The Rhine,,1,0,0,1,0,0,1943,1942,1941,tt0036515,Watch On The Rhine,1943.0,114.0,7.3,3576.0,"nm0795864,nm0005803","nm0358591,nm0375484",nm0795864,nm0795864,1898.0,46.0,nm0795864,0,Watch on the Rhine,1943-08-27,Approved,,,,,,,8,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.466206896551727,1.0
1945,BEST PICTURE,Paramount,Double Indemnity,,0,0,1,0,1,0,1944,1943,1942,tt0036775,Double Indemnity,1944.0,107.0,8.3,132086.0,nm0000697,"nm0000697,nm0151452,nm0128906",nm0000697,nm0000697,1906.0,39.0,nm0000697,0,Double Indemnity,1944-07-06,Passed,95.0,13112526.547415731,,,,196363.64224719102,7,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.141123595505618,
